	TRU	Proximal-proliferative	Proximal-inflammatory
FGL1	-0.076168319	0.78637665	-0.387424923
CD52	0.470904567	-0.60681868	0.354052431
TYROBP	0.392186878	-0.603208478	0.507968762
ITGB2	0.354674651	-0.622463138	0.657495259
FXYD5	0.256442445	-0.565902902	0.3588402
COLEC12	0.532390333	-0.571691345	0.169618053
CD37	0.4277229	-0.499539785	0.443859728
EMP3	0.15740031	-0.557805804	0.690782804
TLR2	0.383482176	-0.501320365	0.418765383
PLA2G4A	-0.453215223	1.507269116	-0.741568113
ALOX5AP	0.159634477	-0.776098834	0.518339198
FGG	-1.291641849	2.04441859	-0.828526591
TPSAB1	0.541101829	-0.387248262	0.221851874
GLULD1	-0.47063267	0.884333285	-0.734971902
DNAJC12	-0.362884468	1.350268716	-0.471338895
VIM	0.273612282	-0.448705028	0.435788962
AIM1	0.107946251	-0.774429268	0.678918933
HLA-DRB6	0.416579513	-0.385356884	0.170989192
MARCO	0.552964575	-0.510001949	0.413920621
HAL	-0.124462613	0.6911104	-0.211822777
LY86	0.449135697	-0.354196881	0.248332226
CPE	-0.39732025	0.983903763	-0.079287437
CAV1	0.364779864	-0.498672777	0.460616726
HCK	0.260694639	-0.509563367	0.758854267
ITGAM	0.36349059	-0.413520233	0.501134406
DAB2	0.3812113	-0.396286804	0.303177947
KIT	-0.149805532	1.032084233	-0.85914812
ARHGDIB	0.280344982	-0.359536283	0.149674055
CSF1R	0.200632969	-0.47943495	0.556556603
RNASE6	0.28398484	-0.496935821	0.648155918
CTSO	0.361772806	-0.393549153	0.189073503
VSIG4	0.187627243	-0.584217501	0.613711513
RAC2	0.17304814	-0.337874805	0.478397878
AKR1C2	-0.121268662	1.341970185	-0.469205117
NCF2	0.147425658	-0.507508037	0.611859934
RARRES3	0.215435113	-0.65345571	0.301466971
S100P	-1.327433965	1.545031749	-0.64410381
TREM2	0.442393286	-0.388787077	0.174308213
FLNA	0.149620068	-0.479827862	0.371502724
F13A1	0.231223021	-0.464832915	0.771808498
SLC15A3	0.213747646	-0.366273973	0.237540882
LST1	0.286977854	-0.349480442	0.354810431
CORO1A	0.234487241	-0.459552816	0.359468259
CAPG	0.195203417	-0.460327051	0.445972092
KIAA1598	-0.270113317	0.465807675	-0.286493443
C1QB	0.09950368	-0.560935055	0.79737682
CD4	0.251194605	-0.289259673	0.299221827
TGFB1	0.187547077	-0.401188783	0.369523383
RFK	-0.228959898	0.411241625	-0.124797391
C1QA	0.10640971	-0.538383137	0.624102195
MNDA	0.146921712	-0.425455741	0.931795285
CD44	0.214430906	-0.349065552	0.553427502
CCT3	-0.360055672	0.383034499	-0.076408063
CCL19	0.724687778	-0.563375422	0.218102422
IL7R	0.345988557	-0.478147598	0.311094481
TESC	0.12537988	1.069431274	-1.845055528
LAPTM5	0.165635835	-0.404418157	0.554595804
PCP4	-0.073393188	1.085171567	-0.460598055
C14orf147	-0.532394989	0.585393989	-0.266535776
AACS	-0.31196698	0.345758529	-0.244268866
CXorf9	0.26188991	-0.367727787	0.311820764
NCF4	0.239842586	-0.394622198	0.316613856
LTB	0.404198167	-0.375043763	0.178380178
FOLR2	0.298123904	-0.347060346	0.222006452
GMFG	0.174304522	-0.434333473	0.439343688
MYLK	0.265590302	-0.46145733	0.40307372
MMP7	0.358936966	-0.772984992	0.448294507
CHIT1	0.616295133	-0.310400317	0.100283534
RASSF2	0.303113488	-0.370306058	0.318445858
CHL1	-0.2505013	0.490740594	-0.236309394
PDLIM2	0.252902267	-0.339678021	0.407055788
SEH1L	-0.452486045	0.397478738	-0.026536536
PLUNC	-0.251483548	0.669075426	-0.482273593
NUPR1	0.318122903	-0.512067077	0.0248933
ALOX5	0.269945335	-0.39334791	0.249776359
CHD7	-0.288104792	0.407276444	-0.044564854
CPVL	0.225711021	-0.477751256	0.407955476
TSNAX	-0.231713937	0.364475794	-0.202091308
BNIP3	-0.423137248	0.482458203	-0.059863955
HMG4L	-0.188942572	0.363278964	-0.153150125
DCN	0.20580132	-0.519250652	0.519603531
IRS2	-0.245526067	0.782383034	-0.412831366
MS4A6A	0.10588184	-0.387970229	0.529805621
CD14	0.021626843	-0.573490873	0.676585123
LGALS9	0.2597009	-0.292215142	0.2111679
LPXN	0.217434726	-0.340032911	0.558580389
SERPING1	0.128752295	-0.428241174	0.456481116
TGFBI	-0.053305415	-0.406941629	0.983036391
FCGR2A	0.080746051	-0.378847926	0.704420731
CCL13	0.212354104	-0.353941304	0.730593464
P15RS	-0.319305474	0.35557861	0.002086784
CD59	0.357075912	-0.327539877	0.21094506
LMO2	0.202092856	-0.299387502	0.135740051
FCER1G	0.049094827	-0.493117647	0.788846615
PAPOLA	-0.258277391	0.299082801	0
GYPC	0.22537233	-0.342845362	0.152820232
MYL9	0.179252546	-0.546201271	0.462368863
IL2RG	0.239444433	-0.388760572	0.506247585
IMPA2	-0.153902839	0.499563532	-0.68103457
NCKAP1L	0.1920136	-0.32121697	0.345768085
HLA-E	0.19027694	-0.285627887	0.178159935
PIR	-0.110566388	0.405832027	-0.214468081
GNAI2	0.127732105	-0.299295883	0.494157448
C3AR1	0.090536996	-0.372495457	0.507258363
GAS6	0.28274601	-0.371374405	0.000173784
CD83	0.32649976	-0.28076707	0.022061978
IRF8	0.266638692	-0.373711848	0.288263423
CD48	0.286069643	-0.301086492	0.300415968
SLMO2	-0.349554751	0.350738764	-0.023911044
LCP1	0.172601641	-0.347603512	0.512946288
PAEP	-0.088848452	0.3764988	-0.163992489
APOC1	0.411501824	-0.433384279	0.192187719
CLEC7A	0.11745515	-0.314353121	0.554961184
LY6E	0.264080428	-0.507738783	0.25696935
CD53	0.116808621	-0.399310739	0.499643159
UCHL1	-0.374898002	0.852513691	0.094341783
CCL2	0.079447656	-0.411577737	0.532233046
LOXL1	0.07633547	-0.342804101	0.632376714
TNC	0.143382142	-0.615304953	0.916594865
PTP4A1	-0.264504363	0.445311154	-0.226043067
DPYD	0.210714667	-0.521106034	0.507288196
GPX2	-0.042583476	1.155733939	-0.487064734
SH3BGRL3	0.099896942	-0.261274739	0.443082211
SRPX	0.393305691	-0.296718541	0.162825664
MUC4	-0.645698228	0.810084604	-0.301721502
AEBP1	0.164424286	-0.457007858	0.398826962
RBM35A	-0.266505348	0.378444573	-0.188682468
LSP1	0.245238761	-0.340502184	0.209113965
CD2	0.142288052	-0.40967927	0.403576335
ACP5	0.278565118	-0.318841813	0.260954287
TRIM22	0.446926985	-0.34576555	0.162505011
PMP22	0.197019744	-0.297543037	0.442888818
TNFRSF12A	0.138407056	-0.327089779	0.317050193
RGL1	0.425121107	-0.344965189	-0.035082914
SLIT2	0.417248562	-0.296060261	-0.014718834
PLAU	-0.316802488	-0.191099216	1.504146396
DSE	-0.116893829	-0.247105449	1.138194689
SNAI2	-0.193201457	-0.095572234	1.010221089
GBP1	-0.430495348	-0.176874988	1.178454284
FAP	-0.342851135	-0.07395811	1.1971365
CXCL10	-0.447674888	-0.113998504	1.349538551
PGC	1.511504074	-0.020284328	-0.819932651
AIM2	-0.245224294	-0.240567158	1.190066019
SRPX2	-0.159841656	-0.196457461	1.003878677
LGALS1	-0.097323546	-0.269868103	0.760683008
FSCN1	-0.176694966	-0.159355389	0.880904697
S100A8	-0.390193588	-0.273166036	1.293355812
VCAM1	-0.277114593	-0.196061521	1.017411121
TFF3	0.188889032	1.026276872	-1.230820452
UNC13B	0.22368885	0.323837577	-0.853708213
CD163	-0.053971282	-0.420937397	0.950047561
CXCL9	-0.187726328	-0.283481905	1.5685027
OLFML2B	-0.276612982	-0.111757234	0.824339745
TACC2	0.012369854	0.447267846	-0.815409538
TMEM158	-0.285267887	-0.015223347	0.796642214
AQP3	0.539319516	0.017567304	-1.267477911
CCL8	-0.165894277	-0.124632126	0.782890589
TUBB6	-0.157853944	-0.182961601	0.700981971
CIT	0.447596765	0.484360249	-0.76026799
TOX3	0.429715181	0.239289481	-1.938593926
SFTPB	0.423401175	-0.049816865	-1.464746344
TDO2	-0.237178579	-0.015983792	0.763140077
PLA2G10	0.499332125	0.034746293	-0.677213091
RAP1GAP	0.706850108	0.001662058	-0.745923314
G0S2	0.040932355	-0.31468362	0.801463576
TNFAIP6	-0.405283917	0.053546134	0.965440236
COL6A2	-0.042548671	-0.354362778	0.811993018
BCL2A1	-0.076715126	-0.194676601	0.890717604
RND3	-0.267736768	-0.194348248	0.877743216
CTSK	-0.10857013	-0.164561525	0.929206282
SLC44A4	0.298978821	0.055062589	-0.845916615
CDH3	-0.003852452	-0.510424885	0.959011184
IFI16	-0.141308555	-0.282842394	0.649441421
MAFB	0.05027074	-0.345317171	0.732121077
GBP2	-0.096651017	-0.142751551	0.79845209
S100A2	-0.185102114	-0.176310563	1.226103449
LAMB1	-0.257987192	-0.133869818	0.822210131
MS4A4A	-0.007042693	-0.411273183	1.111719595
TSPAN8	0.161167891	0.946669251	-1.563659039
SPINK1	0.876208517	0.787719104	-2.051153333
CDA	-0.093437479	-0.067613579	0.888332244
COL5A1	-0.435088728	-0.117646514	0.75223546
MT1X	-0.225567634	-0.27196411	0.733840456
CCDC109B	-0.08016526	-0.164220315	0.559472702
COL15A1	-0.521358541	-0.073982057	0.828049846
SLAMF8	-0.021863318	-0.291435339	0.632569152
CST6	0.17750884	-0.522419216	1.099494782
ANXA1	0.077374626	-0.504005134	0.849198974
FCGR1A	0.079735636	-0.399373307	0.666896986
PSMB9	-0.05164739	-0.219088258	0.776960527
TPM4	-0.168312508	-0.120109968	0.642476355
COL1A1	-0.469923677	-0.10168102	0.605217458
LCP2	0.053028297	-0.227304148	0.655709309
SERPINE1	-0.225467983	-0.144350237	0.795044034
GLIPR1	0.037157668	-0.337097284	0.610221755
SAMSN1	-0.166422884	-0.378955633	0.790847228
GPRC5C	0.229595512	0.128865531	-0.65649184
GZMB	-0.309769126	0.04519868	0.838326351
MMP9	-0.257023865	-0.271273006	0.822023757
RGS10	-0.026918654	-0.215188699	0.632744575
CLEC2B	-0.117336822	-0.260359807	0.707308429
MMD	-0.373672673	0.081469646	0.744454824
FGL2	0.08219189	-0.362655901	0.661227137
TFCP2L1	0.038163749	0.172015921	-0.51159902
APOBEC3G	0.033970371	-0.25062469	0.630767642
ARNTL2	-0.208581827	0.048800255	0.497729518
GFPT2	-0.110110091	-0.175005029	0.535444648
GJB1	0.491167555	-0.045483662	-0.592071864
SNX10	-0.093213764	-0.085553589	0.749790052
ALDH3A2	0.089930756	0.322726215	-0.5972344
DKFZP564O0823	0.389297443	-0.080218545	-0.915098622
NID2	-0.276713105	-0.017564625	0.623267049
CORO1C	-0.196177085	-0.03709853	0.525964425
TFEC	-0.03378223	-0.106668778	0.511514684
CCL4	-0.02303877	-0.220795962	0.764381432
EVI2A	0.106863414	-0.366382709	0.749731724
ERBB3	0.144740568	0.151535095	-0.464985484
INDO	-0.115462436	-0.176050215	0.812417655
RAB31	-0.093515472	-0.266296456	0.535677737
MMP11	-0.105008197	-0.174990051	0.634678556
LRRC15	-0.17263659	-0.100424662	0.754808745
PLAUR	-0.218024989	-0.091427429	0.610581015
KIAA1324	0.109886996	0.15763641	-0.39761482
WIF1	0.61239449	-0.00756489	-0.433255588
CCL5	0.015016441	-0.306738463	0.882077051
ProSAPiP1	0.087566086	0.142209855	-0.542505898
MAOA	0.226173916	0.100712353	-0.598844977
ZDHHC11	0.28916554	0.063938551	-0.631348267
CTSL1	-0.270541093	-0.04044696	0.665094565
TMEM45A	-0.454896165	-0.056138463	0.861866567
SLC16A3	-0.3552071	0.002041149	0.56882345
MMP1	-1.519613512	0.017029649	1.287355645
EFNA1	0.115168148	0.174208231	-0.586011831
FAS	0.065247364	-0.336309261	0.467944882
MT2A	-0.090506636	-0.191208309	0.556786285
SRGN	-0.056487874	-0.365166638	0.549011459
GOLSYN	0.178109551	0.213042873	-0.716610914
UBE2L6	-0.01549948	-0.242030539	0.556524639
NKG7	-0.077133712	-0.121270056	0.699854477
THBS2	-0.409314993	-0.057792996	0.772027017
SLC2A3	-0.107446834	-0.069351007	0.730316763
COL3A1	-0.60587686	-0.01035679	0.550681608
SCNN1B	0.619395	-0.045593803	-0.77550502
CASP4	-0.128764964	-0.18813099	0.527356335
CDCP1	-0.089388385	-0.152261919	0.518369774
MXRA5	-0.461750621	-0.070200758	0.703329433
CLEC4A	0.027829973	-0.173816146	0.502275476
ITGA5	-0.048040684	-0.161478011	0.413149163
SPOCK1	-0.229261444	0.041223538	0.732777498
TOB1	0.184303956	0.383999133	-0.703327336
NEDD4L	0.091865008	0.192260523	-0.468671599
COL1A2	-0.429933637	-0.010226627	0.593171934
IFI35	0.035348073	-0.279255724	0.522579998
PRSS23	-0.201238937	-0.143944347	0.715461939
CD99	-0.109362585	-0.124062756	0.408526423
ACTN1	-0.098652198	-0.106603695	0.485658955
CCDC90B	-0.301906239	0.052229512	0.489466329
GZMA	-0.135849275	-0.160461757	0.704820186
LOC26010	-0.10127925	-0.235099377	0.519368177
NMI	-0.20037642	-0.011497183	0.443034228
CYBB	0.154316482	-0.302452369	0.560520098
CHST11	-0.160793376	-0.093430697	0.528255364
MCF2L	0.028434395	0.247741894	-0.501250516
ATP1B1	0.026326229	0.244762612	-0.584801084
PLEKHO1	0.021542288	-0.185080005	0.389621713
LHFPL2	-0.058277727	-0.227959837	0.532164878
PCOLCE	-0.006180904	-0.301612261	0.591638731
TMC5	0.476800349	-0.029931633	-0.879437705
SCNN1A	-0.112189879	0.317801561	-0.468503659
CASP1	0.080615102	-0.353220569	0.681693735
PRKAB1	0.138431637	0.074145537	-0.399207958
THY1	-0.150122575	-0.12119329	0.567013289
GSTA1	0.505334074	0.166319744	-0.437617725
KLK11	0.256329969	0.069749033	-0.638122508
WARS	-0.241895975	-0.017847543	0.62949545
COL6A3	-0.157309916	-0.252171927	0.566705799
MTUS1	-0.026645032	0.349314488	-0.481979773
GIMAP4	0.164023037	-0.28109634	0.547844218
ADAMDEC1	-0.245257086	0.045386131	1.244937752
SLC31A2	0.043541035	-0.286153877	0.537420022
SORBS2	0.1611756	0.107340474	-0.442305339
PTPRC	0.019564697	-0.396789822	0.634677183
TAP1	-0.153821503	-0.101774031	0.694926322
LAP3	-0.076131177	-0.109268855	0.582855118
ZYX	0.053783834	-0.236458328	0.434601233
FMO5	0.380043863	-0.028252755	-0.981865013
PYGL	-0.436225113	0.075500101	0.624631425
ATP2C2	0.25062543	0.100248708	-0.586182856
PALLD	0.011616043	-0.191363189	0.505438279
KCNN4	-0.092772616	-0.507596686	0.541244594
CCL18	-0.028428124	-0.368244593	0.875899383
STXBP1	0.305578628	0.002493078	-0.594666624
