	log2.quantNorm.TPM.centroid
COL6A1	5.85960336323824
ACTA2	6.77918747873553
LGALS1	7.89661637343167
TSPAN3	5.95180527365101
PFN1	9.30318939596044
NSMAF	3.08352791807814
ATP6V1F	7.14264930658294
LTBP3	5.41950282368691
CYBB	2.93050137850184
HLA-DQA2	3.07554016122858
LGALS3BP	7.63475515599809
NPC2	7.38540083692143
EFEMP1	3.57463560611767
MAP1B	1.90318793231663
TAGLN	6.51726482570601
ATP6V1B2	4.84177138909483
DCTN2	6.07081305732744
CXCR4	4.79903600242868
HLA-DMA	5.85556768714631
FLNA	5.71043479717625
FCGBP	1.07043810389919
MYCBP2	3.34376923254166
PPIC	5.58469106818417
AEBP1	4.85911480627165
HCLS1	4.3077643863038
PAM	4.03781795201811
S100A10	7.4442231127596
F13A1	2.22917381906685
C1QB	6.76545385770064
GUCY1A3	2.21952076615729
LMO4	3.47981905866826
STX3	3.47168951935364
STK38	4.37832156340759
EFNB1	3.90849590263219
CAPZA1	5.54650403075731
MPHOSPH6	4.09889112580627
ZNF384	4.3346161835581
CD74	9.74039889566763
NBL1	3.51031635866239
CD151	7.55945663255351
MTHFD2	2.5882648943075
GRN	7.46301177808776
RNASE6	3.72104667638698
CRABP2	1.45585086877242
CDC25B	5.30851487348059
DDR1	3.75550932999673
PKN1	6.24272844092649
IFI16	4.56143856573988
SLC39A6	4.00787990142798
PKMYT1	2.92918823424353
IKBKE	2.43178928123144
COL6A2	6.05403705841163
GYPC	4.72443527014353
CYR61	4.91080460301348
ADAM9	4.03855733766633
ASAH1	5.28117522470993
GSTP1	5.49645531888755
CRIP2	6.1446776145787
COL5A2	3.72668628645962
PIM2	3.74092000692168
COL11A1	0.151071027833195
DPYSL2	3.97021129124106
CSRP3	0.00129970921354549
FCGR2A	3.66735853587504
GNAI2	6.96874281344595
RALGDS	4.32174630385914
ACP5	5.2497380980709
FYB	2.04516195337126
LITAF	6.41204102280376
POLD3	2.91908298710791
RSU1	4.4138506199505
PEA15	6.14148306529415
FHL3	4.07816831748865
ANXA4	6.47231782237514
CD3D	3.28793986885001
M6PR	5.54875287317519
RNASE1	6.44136927055782
IGFBP5	4.13339501516906
PKD2	3.07554016122858
CTSS	5.57031294609399
DGKA	2.45762764706342
SLC2A5	1.28384000739695
SLC7A5	3.1890458467986
FUT4	1.74285389554774
CDC20	4.0008536425274
CYBA	6.09093026207597
PRKD2	5.18298025168049
TP53BP1	3.21965814035196
S100A13	6.74695361283376
DUT	5.09405952317536
IRF1	5.05461582149163
SMARCD1	4.4188288299455
AQP1	5.18061295346617
PAK1	4.59182600051604
CCR7	1.31962602621696
TRIP10	4.18842228949882
LYN	4.23479099543404
ARF5	7.31419983408361
FGL2	2.99062690489285
CXCL1	2.42975654480399
GLIPR1	2.88719711778145
PSMD2	6.29788819619886
CCND2	1.97124040670239
AIF1	5.44717615096626
PAPSS1	3.99347329419371
SRI	4.90306478999859
ME1	3.59480529775745
PLD3	6.73593099127397
DUSP5	3.52335870991793
DNM2	5.69874383254451
ADAM15	5.6533581585621
HLA-DOA	2.59116954907271
GNS	5.76766644991236
RCC1	4.17613364590556
RIT1	3.40163333340588
PPP4R1	4.59182600051604
RHOA	7.66185290224216
MFAP1	4.54572439961622
ATP1B3	4.804045812517
PROCR	3.00740435407563
ATP6AP1	6.55951246231834
DDX11	3.62624988007647
LOX	2.07865355206553
LGMN	6.15761574175916
CD48	3.53182558625403
ITGB2	4.45617729673416
TFF3	3.51645394204541
DGKZ	3.88187210192281
RIN2	3.08983692066988
SLBP	5.23855033907986
CD8A	1.99733143304842
RPA2	4.94580899977724
SPAG8	0.726555291566005
CYFIP1	5.20823318759778
TNFRSF1B	4.61205048028154
RALB	4.76052063390154
IL2RB	2.12355595418576
PGK1	7.1037934499809
CCL3	3.54832071120728
PPP1CB	5.41004763721865
IL15RA	4.43649168614153
SLC2A1	2.46769631475307
AP2S1	7.02473411077289
LTF	1.13294594113762
AKT3	2.63832063859446
PRMT5	4.95059252164521
LGALS9	4.85826652099318
ATP6V0B	7.43589607451584
HEXA	6.15761574175916
SMAD2	3.99384280218558
CHN1	1.97351613348596
DDR2	0.931639189387701
PPP4C	6.54565954002547
COL2A1	0.20761103017664
GPC3	7.26823600188204
AFP	3.41531573225362
AHCY	7.17078134742028
TARBP1	3.60577876753546
ARID3A	1.98089394702411
FGFR3	4.57838748622166
SMARCC1	4.6144377673966
RPS5	9.37176336059413
EIF4A2	7.17584392270271
TRIM26	5.53806101453619
PHF3	4.40466269834159
FBL	6.82891333054955
SSB	5.93054149615731
TTC3	4.55475521244982
LBR	5.19964172404523
SNRPE	5.71105184314176
GLUD1	7.35799002478202
IGF2	4.63999499206308
MAPK6	4.75271006194496
ATXN10	5.62543766395986
RPS24	10.1223711768865
DDX18	4.6704897011626
NCOA4	6.68595836417745
CSNK2A2	4.36195499952532
EIF4B	6.4217280700032
TPR	4.18395330997594
CSE1L	5.32205901352198
SMARCA1	5.17777829836266
SLC6A2	0.120496906015774
RPS19	9.59034171476324
TM9SF4	5.33670827754307
NET1	4.82705073737136
SLC6A5	0.00254646399621297
TIAL1	4.63999499206308
CHKA	4.88761007532239
HMGCR	5.10965140950157
ADD3	3.68129408010559
BRD3	3.44334633292087
PEG3	0.763269295201191
ERBB3	6.26874390499721
BTG3	4.24453166799942
ATP2B2	4.32742869048213
RAB4A	5.63135431619431
IDI1	6.4874443837545
ABCB10	4.01563047876136
PPARG	4.32060598060908
TP53BP2	4.91552902724189
CXADR	4.45964800666473
PLXNB1	5.61663176419883
CASC3	4.7671234878135
CPD	5.17777829836266
ATF2	3.77638828681913
ATP2B1	3.66622826429608
FLNB	5.28117522470993
RPL24	9.66331330559798
DEK	5.47735287895987
DDX1	5.62485071395085
BCAM	6.34315923803034
CSNK2A1	4.54101729398927
RPL31	10.6156195224359
RBM39	6.01282250829124
BCLAF1	4.19849965409989
MEST	4.75147443314718
TIA1	3.93991202418151
GTF3C2	4.46932402306199
TBCE	4.94755816099947
KLF3	4.48095850906456
H1F0	7.47148338415761
SEPHS1	5.10045587956561
CD46	6.52769906235331
NUP153	3.90332562325996
POFUT1	5.09862672985275
RPL27	10.1223711768865
CDK6	2.78071324132575
RPS25	9.72726973403165
NR2C1	3.40907411946847
CLK2	4.68421505766737
ITIH2	9.23840426161141
PPP2R1A	6.81859495877566
FGFR4	6.42856385262711
EP300	3.69481891873564
PHKA2	4.99218335005507
RPS27	7.21514758246056
PTOV1	6.71307027314688
PIGC	5.34076911644276
SREBF2	6.85127805889186
GBF1	4.43764722088546
ACP1	6.32853563209944
SNTB1	5.60846035210135
NT5E	4.43957061452352
IGF2R	4.85148970772763
PNN	4.84346836021445
HELZ	2.79851612623352
SUMO1	6.76670248534404
PRDX3	7.53245099780506
SUZ12	3.87520896515729
ATM	3.00267444020307
CTNNB1	6.46323694998106
ENPP1	4.13932787083727
GTF2I	4.75147443314718
CUL4A	5.20584758459361
ABCD3	5.51963468042269
NR5A2	4.32667467949854
ATP5F1	6.55843494880997
GNAI1	4.13044000651028
GCN1L1	4.35624524615427
TFIP11	5.42267233670253
GLYAT	5.51019765799433
SERPINC1	10.6970440044262
APOC4	8.46291365297902
MTHFD1	6.23759488306955
GPT	5.98204119573237
HPD	9.02231482075661
SERPING1	10.4032900938251
PCK1	7.47783191687735
HGD	7.36383338707849
CYP2C9	7.44838230682865
DECR1	7.62512214954991
ALDH6A1	5.51185446887119
CYB5A	9.10936055940423
AZGP1	9.14250457353733
C1S	9.32261681734998
SOD1	9.37176336059413
CES1	10.0426101408412
F11	5.21157763158436
CPB2	8.19253743535146
PCK2	7.57318363304698
PON3	6.93739265382396
APCS	9.59034171476324
PCCB	6.45028056202846
ITIH4	9.10936055940423
ALDOB	9.92107030239064
ACAA2	7.55491802485188
C4BPA	8.61661500407274
SULT2A1	7.83774775860288
CYP27A1	8.03410013836711
ACSL1	7.35606631964104
CTH	5.00055938670898
VSIG2	1.16507453095861
C8B	7.40136509031618
SELENBP1	7.20995529718718
ABCB4	5.37875644447474
CAT	7.68441832289925
ZNF160	2.45308556202904
C1R	8.65554217165115
ACO1	5.87587415948903
PCCA	5.227438044177
ALAS1	6.8420007854078
SLC23A1	4.31266880352323
SLC23A2	4.22955716132441
FMO4	4.32477676736157
HSD17B4	7.23786768930296
CBR1	7.83202856933044
MGST2	7.51473062087637
BDH1	6.09093026207597
SBDS	6.26348686773375
ACY1	7.48216742329659
SHMT1	6.8956831207512
TST	8.44870648137552
FAH	7.25920750779502
RGN	6.70123436872949
SERPINA6	8.39753816401271
ADH4	7.58016508612501
AGXT	9.30318939596044
SDS	6.43249630131787
FANCA	3.1266810178895
EPHX1	10.5758615954915
BHMT	6.39570069446852
BTD	5.37773180232834
GOT2	6.93599358763066
DAO	5.48334114118571
MUT	5.54480991902226
ALDH2	8.40665613589082
CYP2J2	5.86298790071047
ECHS1	8.65554217165115
FGG	11.3364881494312
CRYM	4.21421652550554
ALDH7A1	6.24872912541793
ADH6	6.54776968650744
SDC1	8.01732177344903
EHHADH	6.13265025045599
CD81	8.64430660098445
PAH	7.98428002179608
SLC10A1	6.07081305732744
ACOX1	5.45681731759148
RNASE4	7.32172339800741
ARG1	7.8875892401761
BAAT	7.65936375009834
IQGAP2	5.69567874576405
SORL1	4.27947723876319
IL32	8.99221808310066
NNMT	7.60838568447174
TINAGL1	4.26405294957548
HAAO	6.89703828887124
SPAM1	0.00140987450070805
NRG1	1.00611415160834
AQP7	3.68617329244146
GJB1	8.06490601848132
ITIH1	9.66331330559798
SEPP1	9.93587679022417
PLGLB2	5.69261801224328
GHR	4.12004083814921
GSTO1	8.61110707654522
CYP21A2	4.20522984089151
IGF1	3.40005872770538
SLC16A2	4.97068066777878
ATOX1	8.5895226931912
HRG	9.76672219359696
FGB	11.2701977806352
ALDH4A1	7.02926734663166
F5	6.32398211176381
SLC9A3R2	6.8956831207512
COL18A1	7.92722388450079
PLG	8.61110707654522
RARRES2	10.4032900938251
LPIN2	5.36633130756772
HRSP12	8.14728481801097
CPS1	7.90265005962841
RHOB	7.63234747428978
QDPR	6.52248329518752
PDK4	5.30151448577045
ALDH1A1	8.97746082153628
SLC2A2	7.00681414168101
IL13RA1	5.84213760093069
TOB1	6.54459434466903
PIK3R1	4.64478613975343
MAOA	5.83081585199249
ITIH3	8.85829250900002
DNASE1L3	4.11855574904118
PGRMC1	7.79827932091696
CRABP1	0.00198261254593051
RBP5	6.81730347583199
MAOB	6.87263055999819
CFB	10.3849402044226
CYP3A7	5.19010714132777
AGL	3.33740082938976
CD302	5.64916734932469
APOC2	11.6699325073699
CRYAA	3.91144903534188
SHB	3.93363778466828
ASGR2	8.7995655988577
GCKR	4.8761072857988
GSTA2	6.03741187514391
LCAT	5.16553333251231
GPX3	8.51696814273751
TCEA2	4.68786302031816
ACADM	5.90333647020235
BLVRB	7.86094852473781
TDO2	6.76051504527391
NDUFV2	7.68188493166121
KNG1	10.2414112001513
KCNJ8	4.75598300002939
CA2	5.47463721476905
NFIC	5.06047545807166
CECR1	4.04892318579528
GSTZ1	5.2624527021379
CPA3	1.03159845796965
ITPR2	4.22206958220207
ALDH1B1	5.75557288664426
SDHB	7.08471061068351
BLOC1S1	7.95229686944481
BPHL	6.12548083773167
C4A	11.1783455307025
ABCC6	6.29610531745313
ADK	4.84008148604064
SLC6A1	5.30651525796572
AMFR	6.34129749295754
ALPL	4.3497778418368
PROS1	6.41300468555034
MTHFS	7.02324204324407
ABHD2	5.45412817552146
ASCL1	0.216239166500327
ACADSB	5.7278690065963
GCH1	4.63959452828944
ARSA	5.84080259236805
ICAM3	4.89018692581825
TMOD1	3.93400783597426
IL6R	4.31456239953095
HMOX2	5.75430843779091
CP	8.39300125271109
EPAS1	6.09404790750537
APOH	11.4861492014229
MAPRE3	4.33348742272544
ETS2	5.9668466402982
SLC35D1	4.39777353277355
PLCG2	3.70943622145493
ALDH3A2	6.72380699815866
AMT	5.32808103400761
CYFIP2	3.63530166452613
EMP2	4.83587103302049
INSR	4.88505693169245
TPMT	5.12581060255023
EGFR	3.77339613194958
FH	7.26823600188204
ASGR1	8.37944465153689
CXCL2	5.01654802207923
PTS	5.07721223022671
CPA4	0.195941060202919
ASL	7.07687330369834
FKBP2	7.6012337162439
PGM1	6.52979690141097
MME	1.42222492587477
SMARCA2	5.06813808444345
F2	9.32261681734998
CD14	7.8066179288778
MYLK	5.00364540895316
SOAT1	3.87965578073764
NFIB	3.75252168087166
PLA2G2A	5.36581499592724
AKR1C1	8.82528955217726
SLC6A12	4.74736913757459
ACADS	5.99077973018108
POLD4	7.73332993391233
ACOX2	5.90263920752398
SLC7A2	4.85741873199119
COX5B	8.68975761866599
APOA1	12.1254338127275
EDNRB	3.6182891725341
SOD2	8.74953627885983
TGFBR3	2.95764348760635
SREBF1	6.12075337048149
ACADVL	7.75196843687785
PPP2R1B	5.28463960849853
SLCO2A1	2.8505868229275
PNPLA4	3.92365028017858
CGREF1	4.41920177384876
FLT4	2.73687369156497
CFH	8.80600433971973
GCHFR	6.72983415827038
IFIT1	4.87100330988126
ARHGEF12	4.84810560552376
IDH2	7.36579312905928
CSTB	8.15847285920426
CNGA1	2.84654426321102
SPARCL1	5.1365105095263
GGH	6.96299198906881
SLPI	7.63966846620421
KLKB1	5.58756811817975
IMPA1	4.19251297512979
ATP5J	7.56397719484757
FXR2	4.38518320369732
HMGCS2	9.01474833142648
NFKBIA	6.69653221859393
MYO1E	4.21496250674117
KMO	3.56091056087989
TJP2	4.83671037120889
DRG2	5.02233807100873
PKLR	6.24529523233141
SRD5A1	4.5109220547847
CTSO	5.08403108922626
SERPINA3	10.4032900938251
ANXA6	6.48643201603102
ATP5D	7.49505392892695
IDH3A	4.62320200168234
GPX2	8.03746623765249
LPIN1	4.06964116525235
ISG15	6.83937135778888
