	immune	keratin	MITF-low
CD27	1.33015674347838	-0.996440545448558	-1.39246041391516
PDCD1	1.04658569797307	-0.663786116979824	-1.00378325977429
CD274	0.756456838645773	-0.352460713646187	-0.529126045910718
LAG3	1.32329863493549	-0.793588475584333	-1.02081662109782
BTLA	0.765088355062567	-0.275140484922864	-0.336508763823126
IFNG	1.01510931061715	-0.306444251920006	-0.388719121523808
CXCL9	1.60112366083185	-1.42930880880646	-1.57428627031475
CXCL10	1.38582318806313	-1.32394809363453	-1.14798881090657
CXCL11	1.15599824167363	-0.757636526440361	-0.618386378941118
CXCL13	1.61087617395789	-1.48518783482071	-1.49315822951277
CCL7	0.454926516702953	0.030959308013265	0.147895839153616
CCL19	1.68245703849481	-1.1610358992303	-1.90521098252401
CCL21	1.66460254825806	-0.435678292279855	-1.08159870248756
XCL1	0.646178478945708	-0.325346122946759	-0.352346620593956
XCL2	1.04464818844909	-0.618397049657529	-0.797994003095104
CCR4	0.668089389849972	-0.258540237937558	-0.282629520410469
CXCR3	1.09772201919397	-0.55167973769869	-1.07261406794469
CXCR5	1.18301047578914	-0.263180623904895	-0.370709522478424
DARC	0.473603083902177	-0.210655632145262	-0.733058403035101
IL7R	0.987888852188317	-0.542179638962841	-0.100402058193899
IL21R	0.965361210828762	-0.73791905009047	-0.557061152011297
IL22RA2	0.152862839448063	0.0353209857045371	0.0564027290431813
MAGEA1	1.36272783222456	0.44711500721607	2.24129235449392
MAGEA4	1.35105085256354	0.793598248012362	2.62417507727565
MAGEA10	1.15395523079106	0.621673153715996	2.7653820814562
MAGEA11	0.745194490574807	0.553663522729669	1.99529723920282
MAGEB2	1.3835937387978	0.596102825324958	1.73137559110851
MAGEC1	1.17059532381732	0.672933582421621	2.18005630420069
MAGEC2	1.03877663210785	0.395399893830013	2.80510524161481
CTAG1B	1.76683762540107	1.02871184939052	1.78474150299337
CTAG2	1.97216812548193	1.06325388210964	1.95363031124989
OCA2	0.643560607805161	2.41234645478578	-0.802157546432481
DCT	-0.627777756955523	0.621787716607611	-2.03535281761393
CDH1	-0.598060386260034	0.263681454372129	-2.41258315163529
CDH3	-0.509830274943516	1.24386554735495	-2.1516760278709
CDH7	0.429577607445966	0.37665850682053	0.307352134381671
DAPL1	0.277604421082554	1.57094790060989	-0.387310245037363
GABRA5	0.223709381145335	0.947457087999588	0.264688918897465
GABRB3	0.34231021011632	0.994661787428201	0.708615430837742
ADCY2	0.439401397135273	1.23252925058544	-0.155009220819504
GNAL	0.141209132864679	1.31763814781329	-0.388201102761493
BRSK2	-0.00900353910489054	0.816442717218648	-0.22924847893083
CNTFR	0.320945786030788	1.22021204442105	0.456207394093022
BCAN	-0.373785172329889	1.54087785652047	0.0852391365960756
SHANK1	0.246967924301719	0.409763520179608	0.454950259808022
SNAP25	0.340119411740485	0.87234453954592	0.663673217004692
BEX1	0.495833161489812	0.452553450851336	1.40652877781618
SNCB	0.0601691353036811	1.03177310967875	0.123018582990308
CHRNA7	0.151586021162222	0.592319671990295	0.176125835065294
HAP1	0.185463930832078	0.531378200331584	0.0754375186977891
AP3B2	-0.0267928896934962	0.25025311577517	0.184441389246209
VSNL1	0.0565756432638262	0.786493973773025	0.934389778910838
POU3F1	-0.00750284648939219	0.921943068534583	-0.640778099860623
POU4F1	0.16139215188707	0.599754914798172	0.183076959472436
DPYSL4	-0.364351960655972	0.497364345429436	-0.221013862120517
DPYSL5	0.101329788275477	0.3139519740154	0.521478514471306
VGF	-0.179917348834679	1.16437809099371	-0.4165240441697
L1CAM	-0.0526926210865291	0.496384966241731	-0.918357050212474
EFHD1	0.0303879854112534	0.869225396003742	-0.756895032746296
NKX2-2	0.241653552436371	0.861271792728899	0.744334087733672
DLX6	0.146034537846582	0.348524662052451	0.752113307519146
SOX1	0.362770382780385	0.981209567005544	0.491927896883917
OLFM1	0.14142700004313	0.94903105322572	-0.325549181220427
NTN1	0.0789210915818056	0.606652829390957	0.0731684416473767
NEUROG2	0.144865891328863	0.376078185395385	0.236093518899973
COBL	0.101186234777501	0.675429499158731	0.225377631416427
IRX1	0.137453857895117	1.05785223547751	0.375479057939474
IRX2	0.137632040253742	1.14586059512939	0.110599804426519
GATA4	0.527065292472376	0.989782210331049	0.834278141880842
GATA5	0.0705367662248554	0.178332861366608	0.301718847114483
HES2	0.296536219982327	1.46416341456937	-0.174950987380343
PITX1	0.103495183841489	1.07652986545465	0.234613551488771
PITX2	-0.16963360024508	0.443215800588864	-0.0160898156818623
ISL1	0.303478571505186	0.596694764670908	0.301736814433427
LMX1B	0.0647176042166604	0.64670585940202	0.340373874673521
FOXF2	-0.21583780067136	0.853518344427595	-0.265484017563638
LHX2	-0.10547062566994	0.379095334399203	0.549265710658894
KRT1	0.212029534284368	2.97631306808928	0.035824712430796
KRT5	0.541067221874092	3.99604800756892	-0.0436960276008929
KRT6A	0.668463270320458	4.14604801160003	0.46679888567338
KRT6B	0.330401163538636	3.64448362003219	0.293348099809242
KRT6C	0.401407107344462	3.3675615496019	0.26882102089026
KRT14	0.321432070341743	4.36635162237828	0.112797099308035
KRT16	0.497540187370397	4.04950755852044	0.373680414217309
KRT17	0.123915288994803	3.74003835679716	0.142101747675248
KRT78	0.182841775032649	1.31740790689482	0.107972007466373
KRT80	0.104781438387327	1.24709250358988	-0.0610711368416838
KRT4	0.778364060233523	1.0548292099049	0.505830769844155
KRT13	1.09905141235702	1.73438111725891	0.730247582872143
KRT15	0.317765171410299	2.00484290548053	0.247519400988354
KRT19	0.237111074688624	1.18403908688631	0.163379779017624
KRT23	0.193359621809718	1.01426840829007	0.29016531044265
KRT27	0.277647931330206	0.741065028106579	0.144653809567792
KRT75	0.0707454375106448	1.32411094852104	0.139505058357194
KRT79	0.130459373267212	0.830345791033613	0.433758417218896
KLK7	0.0956608869112806	1.94170833174353	0.141946879419777
KLK4	0.313680953527783	0.505583245645909	-0.00414665503007824
KLK5	0.10517395025731	2.10142349342991	0.149364072146825
KLK8	0.124578625138527	2.001194760273	0.185441001490231
KLK10	0.135471607378263	1.68815986457293	-0.0295261959205671
KLK11	0.165096832717538	1.86101513739597	0.0652200778371364
KLK13	0.164590946440723	1.63554837514692	-0.122978398501381
SPRR1A	0.524909002595977	3.05094660016087	0.277161748661435
SPRR2E	0.49160474109066	2.91482900677313	0.399262872975557
LOR	0.0901926467203184	1.63150505930545	0.0109779681440588
EVPL	0.105434543440345	1.61176448698544	0.0965792056308757
SFN	0.266439505606161	3.25064787977151	-0.218343139805488
SERPINB13	0.106558403759974	1.23289085769501	0.0283491955440576
PPL	-0.156554116873978	0.964885713794609	0.655729185635277
RPTN	0.072801908153561	0.693951567584728	0.0423690934646095
CALML5	0.259077449277508	3.0513712837359	0.0768364495968528
SPINK5	0.306781111034585	1.96841159147701	0.242168091593279
SPRR1B	0.568834375671137	3.66177752180653	0.339654365068585
SPRR2A	0.565412331170368	2.81990739102343	0.355907968500846
SPRR2B	0.247651373427443	1.50538462666695	0.16724271273519
SPRR2G	0.334207965928648	2.39633533568896	0.243132722291527
SPRR2D	0.322176565108396	2.19153391284416	0.426417835251149
SPRR2F	0.28993491663602	1.04039012708863	0.208716166568354
SPRR3	0.785537209294084	1.67283398554245	0.45874646651968
LGALS7	0.094952438630327	3.26229044687231	0.328975741571204
S100A7	0.373801973989203	4.04154999512007	0.337023826929906
IVL	0.172413778891442	2.32645923079765	0.087965596666402
CDSN	0.0516572082072703	1.76877966226411	0.12810385402811
FOXN1	0.0261124119213199	0.660585469333906	0.00211509211845632
SCEL	0.219464402743432	1.1460120390626	0.10943526402851
OVOL1	0.149099796736917	1.03580133839583	-0.112757831272381
BNC1	0.119510167480379	0.783346258526551	0.529823654223725
EHF	0.243973478422171	0.751825415182275	0.537044325447001
AKR1C2	0.112229769249938	0.631029499996733	0.34995846941191
FABP7	0.118566492833712	-0.373493674890553	1.40362834038748
ACOX2	0.381211925524684	-0.0206827243864114	1.1898647985189
GABRA2	0.288444707611727	0.225765119233359	1.01246950027099
GABRG2	0.381111401538216	0.2441100286737	0.690010172878965
GABRR1	0.230170207054585	0.0288380034970919	0.820606440501171
GABRP	0.26565325282881	0.426453463729419	0.34980629526715
GABRQ	0.174087239709019	0.196696685684448	0.51130874205152
NCAM1	0.235762394517683	-0.1651120787283	1.55681287605665
NCAM2	0.309463300496011	0.345621236606182	0.447039649967145
GFRA1	0.449952444447826	-0.0176920323564848	1.11036303861917
GFRA3	0.684730547987018	0.633885164526527	2.11830419575025
OLIG1	0.0431394327406418	0.0843729123590942	0.486788789492679
OLIG2	0.756835272286227	0.507302058846999	1.47918604811073
BAI1	0.271302538045334	0.472331931959245	1.65750462146207
BAI3	0.186681498753691	0.216207830739871	0.537726558102258
DNER	0.534132061533588	0.680730447440634	0.50284052065837
NRXN3	0.406675175382276	0.219913448898177	0.95517100075487
MAG	0.730336508458212	0.617292471950197	1.32663465452673
NTS	0.610949157780477	0.308300048283111	1.35500295710627
RTN4RL1	0.0520322206255366	0.737894039779956	-0.120338606901966
AQP4	0.168536471424121	0.339068684679695	0.177003466153123
CHRNB2	0.038016962543859	0.593307276601235	0.411753798817147
PMP2	0.739772924068823	0.569662596118908	2.07322952790394
MPZ	0.137935604054296	-0.154224689876895	1.80932929095906
BDNF	0.327039966183612	0.268885856083062	0.871343732764225
GAD1	0.345858019363155	0.24791232976432	0.574785014193913
CNTNAP3	0.149917329137141	-0.0215503954533732	0.554176771853257
CDH2	0.0633704614542586	-0.446180850721159	1.46474023167908
SLITRK5	0.274681206986409	0.273043208174448	1.00792418424768
ISL2	0.298102153490741	0.237392673251063	0.653727065476664
MOG	0.31084784813581	0.132136673981303	0.610886586571136
PPP1R1B	0.214548658193863	0.449513997374254	1.36138962819264
GLRB	0.366593991743685	0.168480917083017	1.18012083405484
GRIK3	0.640498182576847	0.474929910464952	1.93091837622151
NPTX2	0.541468315138979	0.299747570654555	2.86976845375798
GRIA2	0.281114864366681	0.0671920095948331	1.39347623572305
GAP43	0.377240984444032	0.0764365559540021	2.61063253377351
LPPR1	0.278332673326585	0.0769222783205397	0.823759102376728
NDRG4	0.141403602455039	0.317837348960761	1.19600699930218
APLP1	0.237837226148542	0.482184246944025	1.04421072625422
NPTXR	0.148627054079751	0.441048222487035	0.42716797158545
NOVA1	0.27124388639252	0.117629424726655	0.732217063938998
NGEF	0.218412072087111	0.427382531113434	1.46236728648373
LRFN5	0.287990642610145	0.147339626183975	0.970539657904777
ENPP5	0.385271430731096	0.118982080827009	0.554134866240132
ENTPD2	0.100978668479529	0.566471486370423	0.790860063057875
MT3	0.31705267467637	0.223796784977085	0.961460333172477
PCDHA2	0.182826130929577	0.222145283645297	0.34600016358677
PCDHA3	0.191877076201837	0.212188952817896	0.336668995400201
PCDHA6	0.260873876173855	0.212265291140077	0.606985033344831
PCDHA7	0.226732375213494	0.153815881978961	0.497686615358046
PCDHA11	0.228434245492685	0.257510167856413	0.520542996125844
PCDHA12	0.116270386153222	0.146866928148159	0.243058501150422
PCDHA13	0.210753727548497	0.362766934693342	0.34199058936505
PCDHB2	0.282462120476719	0.224306372445532	0.938049564272713
PCDHB5	0.399911292202214	0.36390942879544	0.976836897550688
PCDHB6	0.193886619344865	0.284116610877974	0.747552910826765
PCDHB16	0.0903458768984211	0.0792021521543412	0.62479862031534
PCDHB17	0.19992819244193	0.139894746339535	0.535532876392181
PCDHAC1	0.213739004783047	0.0940794205580665	0.208655725011853
PCDHAC2	0.280409676699962	0.0924557075068053	0.463095948687039
RELN	0.456594815640213	0.139924269216936	1.24227683302925
POU3F3	0.072316569754701	0.174909501273418	0.326860650497386
POU6F2	0.12711134816009	0.111980737081856	0.429015736751916
TRIM71	0.128124088909284	0.225971170870883	0.29458679350273
FEZF1	0.200386402710549	0.216243485340193	0.316038206903162
FRMPD4	0.101425080699785	0.062209974122073	0.290132174747046
GPR98	0.135137281875167	0.381593081392445	0.717526833466316
LRRTM4	0.799731836605734	0.613391125991998	1.38501929206605
CHRDL1	0.635938704210134	-0.153047457775988	1.32023532845337
SLITRK6	0.363982757566148	0.378698464709774	1.60547977326197
GPC4	-0.0728906925867303	-0.0821528723189072	1.87266957381905
GDNF	0.377354007744199	-0.0934606162597293	2.00917437175156
ALDH1A3	0.616307751586207	-0.117662510483675	2.49326892409497
SDK2	0.0969868240205149	0.676116594294355	1.0066163068205
ZNF711	0.317269954190715	0.362990835366274	0.771099023359112
NFASC	0.121428307424535	0.183806385019201	0.645665372741745
MAB21L1	0.22237487047851	0.105744919320571	0.717799669521876
ASTN1	0.0768419050417602	0.121375860557839	0.69911133552933
DOK5	0.437532048954512	0.483962347684961	0.837194578008281
RBM11	0.111306411519105	0.137314073177665	0.20781237354228
LIFR	0.511919363929644	-0.194147649562422	1.3877858402559
SOX2	0.0774785708605508	0.419921974152271	0.751133678238108
SOX11	0.167463882598346	0.131970509536769	1.38687640943806
HOXA7	0.228198691102805	0.571966022285037	1.27092652731086
HOXB9	0.240504318497204	0.15512188798042	1.48535429304178
HOXB13	-0.566803421988965	0.148830984625447	0.786876966906759
HOXC12	0.213927337894833	0.346329460679263	0.901506526523774
HOXD13	-0.524604514486011	-0.426314767407502	1.42107721190512
FOXA3	0.256090162445249	0.0890516821770449	0.790565292123595
FOXP2	0.263770107087259	0.422533787446606	0.61774152727434
CNTN3	0.244137793102005	0.425458619153759	0.923970561570109
CNTN4	0.421544765456528	0.161413602778804	1.49838822510062
CNTN6	0.284842821257295	0.0836404111303639	1.40148577096371
NRG1	0.17760979094078	0.29298333081789	0.398061199859975
SMOC1	0.359354949682855	0.160241757028387	0.54524791671941
DLK1	0.31542859804465	0.48268891203682	1.04175347469227
SHISA2	0.220108514962268	0.0295748356005192	0.67434263162698
DCDC2	0.0872416618568297	0.31519589626476	-0.0485896753025603
TFAP2C	-0.168188491805864	-0.0658112537053432	1.10563080385137
SALL1	0.570006923340514	0.666143145058975	1.60717076163222
MEOX2	0.462322685474154	-0.18885145601815	2.12116439278425
EYA1	0.561796311130827	0.142594475815202	1.65674342807987
HAND2	0.19003535810961	0.250699712303711	1.0440344619927
TLX1	0.232431860409028	0.188569728232146	0.908752253581086
TLX2	0.215694337952373	0.158931566286477	0.645118406817947
ABCB5	-0.175031395373718	0.464054921849358	-2.27113607958743
CXCL1	0.152534838053892	0.678013616369711	-0.372993198782524
CXCL5	0.405024822433559	0.557862387490694	0.514988507579685
CXCL6	0.16857923641061	0.411688565375275	0.378834438393561
CCL20	0.303897388083857	0.364045509591945	0.42326308225062
IL11	0.232608922659659	0.417554683329792	0.884284598741835
KCNN4	0.370323841009309	-0.58586787987792	0.663531091004392
REG3G	0.340823533890498	0.456965093081815	1.00115739016515
SPP1	0.399820057705967	-0.945275707302918	1.36584823153323
RORC	0.571790788966863	0.235955936604274	0.271722481428468
GBP7	0.374629870580108	-0.0317033048980628	0.46745121028241
MAGEA5	0.165587224911559	0.0740730050910202	0.620490688281548
MAGEB1	0.717174547804525	0.352673170029379	0.854336753015987
MAGED4	-0.289732212912713	0.266869834601677	0.335607546532711
MAGED4B	-0.190826779086116	0.344076039795274	0.563521291151009
PAGE1	0.705841664188384	0.271022518128386	1.2020678386142
PAGE5	2.37328434342475	0.907662115363495	2.71689528603931
XAGE1D	2.4041804362623	0.957205603072394	3.00837018258446
CXORF48	0.589732484905377	0.221894354409258	0.92385966029482
ANKRD45	0.325872270884119	-0.0702445368208169	1.10423454269926
DNAH2	0.0154223697102555	0.466888797799715	1.19687761096824
DNAH9	0.504842659150236	0.447774006168621	2.04378123935306
DNALI1	0.467760832118771	0.0907549038344382	1.23745250388983
SEMA3A	0.64394410542183	-0.121106916558812	2.32747509373842
SEMA3E	0.608403326399013	0.244973755206085	1.57113959824913
KANK4	0.183155315045142	0.172233579213124	1.06021599324533
RHOD	-0.176632304431672	0.619897652311794	0.233697508806999
STK33	0.176248503693805	0.0186779991561039	0.831332128340987
FSD1	0.284252358179883	0.288462767153553	1.07734038728946
ARC	0.100777272370952	0.376664186421388	0.794779759345503
COCH	0.292614060882484	0.0905388678352971	1.18072507399571
EFS	0.248214330461984	0.461169351838102	1.5676233945957
LOXL3	0.520614239023337	-0.327175027793312	2.62637392181083
LOXL4	-0.0154690846283088	-0.751459305013557	2.13638765181557
ITIH5	0.649341582046787	0.106759045698534	3.12583219169584
ADAMTS3	0.210035731586486	0.192721689500449	1.05164584274825
VIT	0.489058519073772	0.215799775114419	1.4894680533891
MMP16	0.0840285756626303	-0.233817701322931	2.07799818696152
LEPREL1	0.320139457101601	0.237647909042422	1.5136449264113
